Txn Date,Memo,Type,Amount,Running Balance
09/01/2025,Opening balance (synthetic),opening,,82000000
09/03/2025,클라우드 서버 이용료 / 기타,withdrawal,-686418,81313582
09/05/2025,사무실 임차료 / 임차료,withdrawal,-1500000,79813582
09/05/2025,사무실 관리비 / 임차료,withdrawal,-240000,79573582
09/07/2025,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,79253582
09/08/2025,[프로젝트] A사 커머스 고도화 잔금 / 매출,deposit,14300000,93553582
09/10/2025,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2250000,91303582
09/10/2025,원천세·지방소득세 납부 / 세금공과,withdrawal,-480000,90823582
09/12/2025,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,90705582
09/15/2025,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1328551,89377031
09/17/2025,영업배상책임보험 연납 / 보험,withdrawal,-480000,88897031
09/18/2025,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-496506,88400525
09/25/2025,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-11600000,76800525
09/28/2025,식대·복리후생 / 기타,withdrawal,-611098,76189427
09/30/2025,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,79489427
10/03/2025,클라우드 서버 이용료 / 기타,withdrawal,-595106,78894321
10/05/2025,사무실 임차료 / 임차료,withdrawal,-1500000,77394321
10/05/2025,사무실 관리비 / 임차료,withdrawal,-250000,77144321
10/07/2025,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,76824321
10/10/2025,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2250000,74574321
10/10/2025,원천세·지방소득세 납부 / 세금공과,withdrawal,-480000,74094321
10/12/2025,통신비 (인터넷·휴대폰) / 기타,withdrawal,-118000,73976321
10/14/2025,[프로젝트] B사 ERP 연동 계약금 / 매출,deposit,9900000,83876321
10/15/2025,온라인 광고비 (검색·SNS) / 마케팅,withdrawal,-1470280,82406041
10/18/2025,개발 소프트웨어 라이선스·소모품 / 매입/원재료,withdrawal,-609067,81796974
10/22/2025,UI 디자인 외주 / 외주,withdrawal,-2800000,78996974
10/25/2025,부가가치세 신고·납부 / 세금공과,withdrawal,-2640000,76356974
10/25/2025,"급여 지급 (4명, 실수령) / 인건비",withdrawal,-11600000,64756974
10/28/2025,[프로젝트] C사 관리자 대시보드 중도금 / 매출,deposit,12100000,76856974
10/28/2025,식대·복리후생 / 기타,withdrawal,-652324,76204650
10/30/2025,[유지보수] 월 정액 (3개사) / 매출,deposit,3300000,79504650
11/03/2025,클라우드 서버 이용료 / 기타,withdrawal,-615477,78889173
11/05/2025,사무실 임차료 / 임차료,withdrawal,-1500000,77389173
11/05/2025,사무실 관리비 / 임차료,withdrawal,-230000,77159173
11/06/2025,개발용 노트북 2대 / 장비,withdrawal,-3640000,73519173
11/07/2025,협업 SaaS 구독 (메신저·문서·저장소) / 기타,withdrawal,-320000,73199173
11/10/2025,4대보험 납부 (회사·근로자분) / 보험,withdrawal,-2250000,70949173
